3.762738	9.150000	pioneer
10.480000	17.280000	prophet
18.470000	23.390000	herald
24.520000	31.440000	heir
32.590000	37.520000	successor
38.810000	45.020000	generation
46.500000	53.280000	surname
54.590000	60.810000	gender
62.340000	65.900000	sex
67.570000	73.250000	female
74.400000	78.340000	couple
79.630000	84.160000	spouse
85.800000	90.390000	husband
92.120000	97.640000	gay
99.850000	104.560000	grandfather
106.140000	112.150000	father-in-law
113.300000	118.730000	sibling
121.290000	127.430000	cousin
129.350000	134.140000	nephew
135.450000	141.280000	niece
142.830000	147.970000	twin
149.150000	154.120000	embryo
155.510000	163.710000	infant
165.410000	171.620000	orphan
173.310000	180.800000	juvenile
182.570000	188.040000	youngster
189.650000	195.220000	youth
196.620000	201.100000	gang
202.430000	212.000000	teenager
213.490000	219.020000	adolescence
220.950000	225.480000	kin
226.830000	231.600000	folk
233.460000	239.390000	relative
240.770000	247.880000	intimate
249.240000	255.450000	dear
256.820000	261.960000	darling
263.580000	269.340000	lover
270.890000	277.800000	beloved
279.280000	284.970000	madam
286.700000	294.070000	hostess
295.790000	301.360000	landlady
302.650000	309.120000	mistress
310.720000	316.920000	housewife
318.340000	324.120000	widow
325.740000	331.400000	maid
332.630000	337.480000	maiden
338.930000	346.440000	household
348.130000	353.370000	chore
354.890000	362.570000	host
363.990000	368.360000	landlord
370.230000	376.840000	tenant
378.300000	384.680000	guest
386.290000	392.870000	customer
394.590000	400.390000	client
402.200000	408.810000	encounter
410.270000	414.810000	chase
416.280000	420.790000	miss
421.880000	426.840000	appointment
428.210000	432.980000	accompany
434.730000	442.930000	dependent
444.440000	450.850000	propose
452.150000	458.480000	engagement
459.890000	464.660000	marry
466.050000	472.440000	wedding
474.070000	479.950000	honeymoon
481.200000	485.790000	kiss
487.340000	492.300000	divorce
493.990000	500.500000	separate
501.850000	507.380000	single
508.770000	515.080000	sole
516.350000	522.160000	respective
523.880000	528.210000	each
529.580000	535.780000	individual
537.240000	542.680000	commuter
544.280000	550.420000	neighborhood
551.770000	561.170000	member
562.680000	568.530000	boss
570.010000	574.890000	manager
576.650000	582.910000	supervisor
584.580000	589.900000	subordinate
591.310000	596.070000	partner
597.540000	605.790000	mate
607.320000	612.260000	colleague
613.730000	621.230000	comrade
622.630000	629.230000	acquaintance
630.730000	635.510000	friendship
637.080000	642.790000	affection
644.860000	649.670000	stranger
651.770000	656.750000	apprentice
657.980000	662.820000	deputy
664.040000	668.850000	hero
670.160000	677.150000	heroine
678.530000	683.170000	actress
684.750000	692.340000	chancellor
693.770000	698.330000	commander
699.380000	704.890000	director
706.160000	711.590000	proponent
712.710000	718.830000	committee
720.160000	725.590000	council
726.830000	733.900000	delegate
735.460000	740.450000	specialist
741.860000	747.660000	consultant
749.290000	757.900000	veterinary
759.270000	765.380000	counsellor
766.990000	771.510000	solicitor
772.840000	779.060000	attorney
780.200000	785.780000	umpire
787.440000	793.440000	cashier
794.540000	799.670000	fireman
801.230000	806.780000	nurse
808.580000	812.910000	gardener
814.270000	819.240000	barber
820.700000	825.860000	haircut
827.890000	832.640000	fisherman
833.870000	838.730000	butcher
840.180000	847.220000	groom
848.590000	854.680000	hostage
856.000000	861.380000	toil
863.440000	868.220000	beggar
869.800000	875.450000	slave
876.840000	881.080000	coward
